Company Name,Description,Location,Link
ZeroAvia,Hydrogen fuel-cell aircraft powertrain,HOLLISTERCA,https://www.zeroavia.com/
Paladin AI,Data-driven adaptive pilot training using AI,MONTREALCANADA,https://paladin.ai/
Block Aero,Blockchain based digitization of aviation assets,BANGKOKTHAILAND,https://block.aero/
Skyways,Autonomous VTOL drones for payload delivery,AUSTINTX,https://skyways.com/
AI-Redefined,Open-source framework for training AI & humans,MONTREALCANADA,https://ai-r.com/
Deepwave Digital,RF signal identification solution on the edge,PHILADELPHIAPA,https://deepwavedigital.com/
Veracity Protocol,Tamper-proof product authentication technology,NEW YORKNY,https://www.veracityprotocol.org/
SyncFab,A&D specialty parts supply chain platform secured by blockchain,SAN LEANDROCA,https://syncfab.com/
Cluster,Marketplace to hire mechanical and electrical engineers,LOS ANGELESCA,https://www.clusterinc.com/
Orbital Sidekick,Space-based oil leak detection and classification,SAN FRANCISCOCA,https://orbitalsidekick.com/
Launcher,High performance small satellite launcher,HAWTHORNECA,https://launcherspace.com/
C4 Systems,Augmented reality for pilot situational awareness,TEL AVIVISRAEL,https://www.c4systems.us/
Sightec,Vision-based navigation & real-time analytics for autonomous UAVs,TEL AVIVISRAEL,https://www.sightec.com/
Crypta Labs,Quantum Random Number Generators for encryption,LONDONUK,https://www.cryptalabs.com/
AnsuR,99% bandwidth savings on ISR photo/video communications,FOMEBUNORWAY,https://www.ansur.no/
Mobius.Energy,Battery module for e-VTOL and electric aircrafts,LOS ANGELESCA,https://www.mobius.energy/
Clarvoyant,Holographic engineering and design platform,PASADENACA,https://clarvoyant.com/
FLITE Material Sciences,Laser treatment that alters how materials interact with liquids,MONTREALCANADA,http://www.flite.tech/
Momentus,In-space satellites last-mile delivery,SANTA CLARACA,https://www.momentus.space/
Skyloom,Fiberless Space-to-Earth communications,SAN FRANCISCOCA,https://www.skyloom.co/
Spaceit,Cloud-based mission control system for small satellites,TARTUESTONIA,https://spaceit.eu/
Prime Lightworks,Propellant-less electric propulsion for satellites,CULVER CITYCA,https://www.primelightworks.com/
Red 6,"Augmented reality outdoors in high-speed, dynamic environments",SANTA MONICACA,https://www.red6ar.com/
Ravyn,Precision guided munitions,SAN FRANCISCOCA,https://ravyn.io/
Airfree,Marketplace of the sky: air retail digital transformation,PARISFRANCE,https://airfree.aero/
Internest,Precise positioning for automatic landing,PARISFRANCE,https://internest.fr/
EVA,Commercial Drone Docking Station,BROOKLYNNY,https://eva.xyz/
Hionos,Fail-safe & certifiable drone autopilot,GRENOBLEFRANCE,https://www.hionos.com/
Ampaire,Transforming Aviation with Zero Emission Aircraft,LOS ANGELESCA,https://www.ampaire.com/
Corenova,Cognitive communications assurance,SANTA MONICACA,https://www.corenova.com/
Sen,4K camera for space operations & Earth Observation,LONDONUK,https://sen.com/
Optisys,Automated antenna design & manufacturing,WEST JORDANUT,https://www.optisys.net/
Whitefox Defense Technologies,Counter-drone and Remote ID for drone airspace security,SAN LUIS OBISPOCA,https://www.whitefoxdefense.com/
Natilus,Autonomous freight drone,RICHMONDCA,https://www.natilus.co/
AirMap,Airspace services platform for drones,SANTA MONICACA,https://www.airmap.com/
WiN MS,Wire Network Monitoring Solutions,ORSAYFRANCE,https://www.win-ms.com/
Polyverse,Comprehensive linux security with Polymorphing,BELLEVUEWA,https://polyverse.com/
Delfox,AI-based autonomous systems for complex environments,MÉRIGNACFRANCE,https://delfox.net/
Limatech,Aerospace Grade Lithium-Iron Batteries,TOULOUSEFRANCE,https://www.limatech-france.com/en/
Ascent,Operations Platform For Urban Air Mobility,SINGAPORESINGAPORE,https://ascent.flights/
Atomic-6,Next Generation Composite Manufacturing,ATLANTAGA,https://www.atomic-6.com/
First Resonance,Manufacturing 4.0 Project Management Software,LOS ANGELESCA,https://www.firstresonance.io/
Precursor SPC,Earthquake & Space Weather Forecasting Platform,SEATTLEWA,https://precursor-spc.com/
Nebula Space Enterprise,Stealth-Mode Space Infrastructure Developer,SAN DIEGOCA,http://nebulase.com/
Near Earth Autonomy,Navigation & Sensing For Autonomous Flight,PITTSBURGHPA,https://www.nearearth.aero/
Wabbi,SecDevOps Orchestration Platform,BOSTONMA,http://wabbisoft.com/
FZ Engineering,High quality additive manufacturing,MONTREALCANADA,https://fzengineering.com/
SeRo Systems,Software-defined Radar for a safe Air Traffic Control,GERMANY,https://sero-systems.de/
Odys Aviation,,LONG BEACHUNITED STATES,http://craft.aero/
Luos,https://www.luos.io/,PARISFRANCE,https://www.luos.io/
Robotic Skies,Aviation-Grade Maintenance for Unmanned Aerial Vehicles,"SALT LAKE CITY, UTAH,USA",https://roboticskies.com/
F-Drones,Drones as a Service for Maritime Logistics,SINGAPORESINGAPORE,https://www.f-drones.com/
Exosonic,Low Boom Supersonic Commercial Airliner & UAVs,"LOS ANGELES, CA,USA",https://www.exosonic.com/
Morpheus Space,Miniaturized Electric Thrusters for Proximity Operations,"DRESDEN,GERMANY",https://www.morpheus-space.com/
Modularity Space,Modular Satellite Constellation For Satellite-As-A-Service,"DAYTONA BEACH,FL, USA",https://www.modularityspace.com/
114AI,Data Fusion for Space Domain Awareness,USAUSA,https://114ai.com/
Archangel Lightworks,"Secure, High Volume Laser Communications","LONDON, UK",https://www.archangel.works/
Infinidome,Anti-GPS Jamming Protection,"CAESAREA,ISRAEL",https://www.infinidome.com/
ResilienX,Safety Assurance for Autonomous Ecosystems,"SYRACUSE, NY,USA",https://www.resilienx.com/
FuelX,Materials-based Solid-State Hydrogen Fuel & Fuel Cell Power Systems,"AIKEN, SOUTH CAROLINA,USA",https://fuelx.tech/
Morf3D,Comprehensive Metal AM Production Systems,"EL SEGUNDO, CA,USA",https://morf3d.com/
Aletiq,Technical Data Management Software for Industry 4.0,"PARIS,FRANCE",https://www.aletiq.com/
Plus Ultra Space Outposts,Lunar Satellite Constellation for Commercial and Institutional Lunar Missions,"MADRID,SPAIN",https://www.plus-ultra.space/
Destinus,Global Hyperexpress Delivery in Under 2 Hours with Hypersonic Rocket Airplane,"PAYERNE,SWITZERLAND",https://destinus.ch/
Emproof,Innovative cybersecurity software for embedded systems,NETHERLANDSNETHERLANDS,https://www.emproof.de/
Evitado,Automating airside operations,HAMBURGGERMANY,https://evitado.io/
Sirius Space Services,Low-cost Reusable Micro-Launcher,PARISFRANCE,https://www.sirius-space.com/
Prométhée,Multiple-source Earth Observation Satellite Constellation,AIX-EN-PROVENCEFRANCE,https://www.promethee.earth/fr/
Interstellar Lab,Environmentally-controlled modules for sustainable farming on Earth and life-support in space.,PARISFRANCE,https://interstellarlab.com/
Reflex Aerospace,,MUNICHGERMANY,https://www.reflexaerospace.com/
