Company Name,Link,Description,Location
Atom Group,https://www.zx-ventures.com/company/atom-group/,Disruptive global drinks group.,EURAF
BanQu,https://www.zx-ventures.com/company/banqu/,"Making global supply chains transparent, traceable and MOST importantly equitable.","EURAF, North America"
Beer Hawk,https://www.zx-ventures.com/company/beer-hawk/,Online beer retailer bringing the best of artisan breweries to your doorstep in the UK.,EURAF
BioBrew,https://www.zx-ventures.com/company/biobrew/,Scaling precision fermentation.,"EURAF, North America"
Black Crown,https://www.zx-ventures.com/company/black-crown/,"With clean, crisp flavors of lemon and lime, Black Crown is a premium, locally crafted Gin and Tonic.",EURAF
Catalant,https://www.zx-ventures.com/company/catalant-2/,A marketplace for on-demand elite expertise & consulting firms and software for strategic portfolio management.,North America
Cutwater Spirits,https://www.zx-ventures.com/company/cutwater-spirits/,"Classic cocktails, ready when you are.","EURAF, North America"
EverGrain,https://www.zx-ventures.com/company/evergrain/,EverGrain's mission is to create incredible ingredients that nourish the world through the transformative power of circularity.,"EURAF, North America"
Flying Fish,https://www.zx-ventures.com/company/flying-fish/,It’s like sparkling water but with alcohol and a dash of fruit juice. As simple as that.,EURAF
GHOST Energy,https://www.zx-ventures.com/company/ghost-energy/,Fully transparent energy.,North America
Ginette,https://www.zx-ventures.com/company/ginette/,"Ginette, the Belgian BIO Beer (Certysis certified) that offer high quality and refreshing products.",EURAF
Goose Island,https://www.zx-ventures.com/company/goose-island/,"Craft brewer creating award-winning beers that define classic and innovative styles to capture the hearts, imaginations, and palates of beer drinkers.","EURAF, LATAM, North America"
Hocus Pocus,https://www.zx-ventures.com/company/hocus-pocus/,Wizards with a purpose to evolve the art of brewing,LATAM
Hoegaarden,https://www.zx-ventures.com/company/hoegaarden/,"A unique, authentic Belgian wheat beer.",LATAM
InterDrinks,https://www.zx-ventures.com/company/interdrinks/,Creator of brewing adventures.,EURAF
Isla Hard Seltzer,https://www.zx-ventures.com/company/isla-beverage/,Brazilian hard seltzer,LATAM
Jamaica Rum Vibes,https://www.zx-ventures.com/company/jamaica-rum-vibes/,RTD rum cocktail,EURAF
Kona,https://www.zx-ventures.com/company/kona-beverage/,"Beer made with passion, quality, and a whole lot of Hawaii.",LATAM
Leaf Logistics,https://www.zx-ventures.com/company/leaf-logistics/,"A data-driven transportation platform that unlocks network efficiencies for shippers, carriers, and logistics service providers.",LATAM
Lohn Bier,https://www.zx-ventures.com/company/lohn-bier/,Brazilian beer that inspires the desire to live new experiences,LATAM
Pensa Systems,https://www.zx-ventures.com/company/pensa-systems/,Leading innovator in the automated use of computer vision and artificial intelligence for retail in-store data and analytics.,North America
Perfect Draft,https://www.zx-ventures.com/company/perfect-draft/,"PerfectDraft exists to serve the ultimate in-home beer experience. A pull on the tap, and you'll have a glass of beer just the way the brewer intended: cold, crisp and brewery-fresh.",EURAF
Saveur Bière,https://www.zx-ventures.com/company/saveur-biere/,Creator of Brewing Adventures.,EURAF
Super Coffee,https://www.zx-ventures.com/company/super-coffee/,We mass produce positive energy.,North America
Winnin,https://www.zx-ventures.com/company/winnin/,Turning brands into creators through data.,LATAM
Ze Delivery,https://www.zx-ventures.com/company/ze-delivery/,"Delivering cold beverages, in an hour or less, at affordable prices.",LATAM
